epoch 140, time 6.4, train_loss 0.22, val_loss 0.44 
epoch 141, time 6.5, train_loss 0.22, val_loss 0.45 
epoch 142, time 7.0, train_loss 0.23, val_loss 0.45 
epoch 143, time 6.3, train_loss 0.22, val_loss 0.45 
epoch 144, time 6.6, train_loss 0.22, val_loss 0.44 
epoch 145, time 6.7, train_loss 0.22, val_loss 0.44 
epoch 146, time 6.0, train_loss 0.23, val_loss 0.44 
epoch 147, time 6.5, train_loss 0.22, val_loss 0.44 
epoch 148, time 6.0, train_loss 0.22, val_loss 0.44 
epoch 149, time 6.6, train_loss 0.22, val_loss 0.44 
epoch 150, time 6.6, train_loss 0.23, val_loss 0.44 
epoch 151, time 6.5, train_loss 0.22, val_loss 0.44 
epoch 152, time 6.5, train_loss 0.22, val_loss 0.44 
epoch 153, time 6.4, train_loss 0.22, val_loss 0.44 
epoch 154, time 7.6, train_loss 0.22, val_loss 0.45 
epoch 155, time 6.6, train_loss 0.22, val_loss 0.44 
epoch 156, time 6.5, train_loss 0.22, val_loss 0.45 
epoch 157, time 6.5, train_loss 0.22, val_loss 0.44 
epoch 158, time 6.5, train_loss 0.22, val_loss 0.45 
epoch 159, time 7.3, train_loss 0.22, val_loss 0.44 
epoch 160, time 6.4, train_loss 0.22, val_loss 0.44 
epoch 161, time 6.1, train_loss 0.22, val_loss 0.44 
epoch 162, time 6.1, train_loss 0.22, val_loss 0.45 
epoch 163, time 5.9, train_loss 0.22, val_loss 0.44 
epoch 164, time 6.4, train_loss 0.22, val_loss 0.44 
epoch 165, time 5.9, train_loss 0.22, val_loss 0.44 
epoch 166, time 5.9, train_loss 0.22, val_loss 0.44 
epoch 167, time 6.3, train_loss 0.22, val_loss 0.44 
epoch 168, time 6.0, train_loss 0.22, val_loss 0.44 
epoch 169, time 6.5, train_loss 0.22, val_loss 0.44 
epoch 170, time 6.4, train_loss 0.22, val_loss 0.44 
epoch 171, time 6.6, train_loss 0.22, val_loss 0.44 
epoch 172, time 7.0, train_loss 0.22, val_loss 0.44 
epoch 173, time 6.2, train_loss 0.22, val_loss 0.44 
epoch 174, time 7.2, train_loss 0.22, val_loss 0.44 
epoch 175, time 6.3, train_loss 0.22, val_loss 0.44 
epoch 176, time 6.7, train_loss 0.22, val_loss 0.44 
epoch 177, time 7.0, train_loss 0.22, val_loss 0.43 
epoch 178, time 6.5, train_loss 0.21, val_loss 0.44 
epoch 179, time 7.2, train_loss 0.22, val_loss 0.44 
epoch 180, time 6.1, train_loss 0.22, val_loss 0.44 
epoch 181, time 6.6, train_loss 0.22, val_loss 0.44 
epoch 182, time 6.2, train_loss 0.21, val_loss 0.43 
epoch 183, time 6.3, train_loss 0.22, val_loss 0.43 
epoch 184, time 6.2, train_loss 0.21, val_loss 0.44 
epoch 185, time 6.3, train_loss 0.22, val_loss 0.43 
epoch 186, time 6.5, train_loss 0.22, val_loss 0.44 
epoch 187, time 6.1, train_loss 0.22, val_loss 0.43 
epoch 188, time 6.0, train_loss 0.21, val_loss 0.44 
epoch 189, time 6.6, train_loss 0.22, val_loss 0.43 
epoch 190, time 6.0, train_loss 0.22, val_loss 0.43 
epoch 191, time 6.4, train_loss 0.21, val_loss 0.43 
epoch 192, time 6.4, train_loss 0.21, val_loss 0.43 
epoch 193, time 6.4, train_loss 0.21, val_loss 0.44 
epoch 194, time 7.2, train_loss 0.22, val_loss 0.43 
epoch 195, time 6.1, train_loss 0.21, val_loss 0.43 
epoch 196, time 6.3, train_loss 0.21, val_loss 0.43 
epoch 197, time 6.8, train_loss 0.21, val_loss 0.43 
epoch 198, time 6.5, train_loss 0.21, val_loss 0.43 
epoch 199, time 6.6, train_loss 0.21, val_loss 0.44 
epoch 200, time 5.9, train_loss 0.21, val_loss 0.43 
epoch 201, time 6.0, train_loss 0.21, val_loss 0.43 
epoch 202, time 6.1, train_loss 0.22, val_loss 0.43 
epoch 203, time 5.9, train_loss 0.21, val_loss 0.43 
